doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
137,408,4,6,early,30,yes,no,NEY,0,0,0,0
137,409,4,11,late,15,no,yes,TL,0,0,0,0
137,410,4,1,early,15,yes,yes,TE,0,0,0,0
137,411,4,2,early,15,yes,no,NEY,0,0,0,0
137,412,4,12,late,15,no,no,NL,0,0,0,0
137,413,4,7,early,30,no,yes,TE,0,0,0,0
137,414,4,13,late,30,yes,yes,TL,0,0,0,0
137,415,4,14,late,30,yes,no,NL,0,0,0,0
137,416,4,10,late,15,yes,no,NL,0,0,0,0
143,101,1,1,early,15,yes,yes,TE,0.01,0.02,0.01,0.01
143,102,1,2,early,15,yes,no,NEY,0.01,0,0.02,0.01
143,103,1,3,early,15,no,yes,TE,0,0,0,0
143,104,1,4,early,15,no,no,NE,0,0,0,0
143,105,1,5,early,30,yes,yes,TE,0.02,0.03,0,0.02
143,106,1,6,early,30,yes,no,NEY,0.02,0.02,0,0.01
143,107,1,7,early,30,no,yes,TE,0.03,0.01,0.02,0.02
143,108,1,8,early,30,no,no,NE,0,0,0,0
143,109,1,9,late,15,yes,yes,TL,0,0,0,0
143,110,1,10,late,15,yes,no,NL,0,0,0,0
143,111,1,11,late,15,no,yes,TL,0,0,0,0
143,112,1,12,late,15,no,no,NL,0,0,0,0
143,113,1,13,late,30,yes,yes,TL,0,0,0,0
143,114,1,14,late,30,yes,no,NL,0,0,0,0
143,115,1,15,late,30,no,yes,TL,0,0,0,0
143,116,1,16,late,30,no,no,NL,0,0,0,0
143,201,2,11,late,15,no,yes,TL,0,0,0,0
143,202,2,7,early,30,no,yes,TE,0.02,0.02,0.01,0.02
143,203,2,12,late,15,no,no,NL,0,0,0,0
143,204,2,16,late,30,no,no,NL,0,0,0,0
143,205,2,15,late,30,no,yes,TL,0,0,0,0
143,206,2,8,early,30,no,no,NE,0.01,0,0,0
143,207,2,2,early,15,yes,no,NEY,0,0,0,0
143,208,2,9,late,15,yes,yes,TL,0,0,0,0
143,209,2,3,early,15,no,yes,TE,0.01,0.01,0,0.01
143,210,2,13,late,30,yes,yes,TL,0,0,0,0
143,211,2,10,late,15,yes,no,NL,0,0,0,0
143,212,2,14,late,30,yes,no,NL,0,0,0,0
143,213,2,1,early,15,yes,yes,TE,0,0,0,0
143,214,2,6,early,30,yes,no,NEY,0,0,0,0
143,215,2,5,early,30,yes,yes,TE,0.03,0.02,0.02,0.02
143,216,2,4,early,15,no,no,NE,0,0,0,0
143,301,3,16,late,30,no,no,NL,0,0,0,0
143,302,3,7,early,30,no,yes,TE,0.03,0.03,0.02,0.03
143,303,3,11,late,15,no,yes,TL,0,0,0,0
143,304,3,5,early,30,yes,yes,TE,0.02,0.01,0.02,0.02
143,305,3,2,early,15,yes,no,NEY,0,0,0,0
143,306,3,6,early,30,yes,no,NEY,0.01,0,0,0
143,307,3,8,early,30,no,no,NE,0,0.01,0,0
143,308,3,4,early,15,no,no,NE,0,0.01,0.01,0.01
143,309,3,10,late,15,yes,no,NL,0,0,0,0
143,310,3,1,early,15,yes,yes,TE,0.02,0.04,0.03,0.03
143,311,3,14,late,30,yes,no,NL,0,0,0,0
143,312,3,3,early,15,no,yes,TE,0.01,0.01,0,0.01
143,313,3,15,late,30,no,yes,TL,0,0,0,0
143,314,3,12,late,15,no,no,NL,0,0,0,0
143,315,3,9,late,15,yes,yes,TL,0,0,0,0
143,316,3,13,late,30,yes,yes,TL,0,0,0,0
143,401,4,8,early,30,no,no,NE,0.01,0,0,0
143,402,4,3,early,15,no,yes,TE,0,0,0.01,0
143,403,4,5,early,30,yes,yes,TE,0,0,0.02,0.01
143,404,4,15,late,30,no,yes,TL,0,0,0,0
143,405,4,4,early,15,no,no,NE,0,0,0.02,0.01
143,406,4,9,late,15,yes,yes,TL,0,0,0,0
